bid,name,city,state,lat,long,star,reviews,num,cat
HBEpsQ9CaTWjspIOH3KI5Q,Relax\,Tempe,AZ,33.4240956,-111.9419782,5,17,16490,Beauty & Spas
YJqSgya7TPRAVsN98rWcug,Carrie Evans\,Mesa,AZ,33.3764344,-111.8442153,5,3,17884,Beauty & Spas
8thJqSLHngJt91fZVH2Cxw,Your Nail Gal\,Glendale,AZ,33.6432882,-112.22039,4.5,26,18101,Beauty & Spas
2agDSZF593OlXDj7SZtVxw,Michele's Massage and Aesthetics\,Phoenix,AZ,33.503647,-112.035606,4,8,19604,Beauty & Spas
PobPeV78Kkuf1JuxDz0wrA,Gigi's Mind\,Phoenix,AZ,33.51751328,-112.0578384,4,14,20524,Beauty & Spas
x1mQI4B2q_8WgYqB4sCPkQ,Bare Wax Studio\,Peoria,AZ,33.3285,-112.7037,5,4,20576,Beauty & Spas
gNpTDnoCc_QR3BQ5S-GubA,Eyelashed Arizona\,Scottsdale,AZ,33.4817163,-111.9360114,5,6,22116,Beauty & Spas
6GgtZ3NMxTxefIsY1mMDOQ,Mark Meyers\,Scottsdale,AZ,33.5854069,-111.9260648,4,6,8680,Beauty & Spas
UKgSs_SJzW9fu4CwhIV1yA,Firesky Resort & Spa\,Scottsdale,AZ,33.5088053,-111.9252515,4,248,11115,Beauty & Spas
EBOBJgNjKp5yo5lDR1stBg,Ageless Mi MedSpa\,Scottsdale,AZ,33.493736,-111.929579,5,6,20812,Beauty & Spas
bp_pR4yFDKGyJwQkrMFWQQ,The Nail Room\,Scottsdale,AZ,33.6263425,-111.9247272,4,65,21593,Beauty & Spas
AhefyVWCLm7R80LoSfmU1g,Rebecca's Skin Care\,Phoenix,AZ,33.711091,-112.1122766,4,5,21902,Beauty & Spas
N9V3LW2H8UOtN0ZLP2QL8w,Lash Out Beauty\,Gilbert,AZ,33.3108222,-111.7427235,4.5,7,23041,Beauty & Spas
KuorOOWALF-0qt-uwcpOTQ,The Cat's Meow Esthetics & Eyelash Extensions\,Glendale,AZ,33.6257659,-112.1874789,5,5,23424,Beauty & Spas
A70HplwYmSUjT66TCvFFFQ,The Nail Spot\,Mesa,AZ,33.3795926,-111.8758309,4.5,5,24499,Beauty & Spas
XpOGaccQgVqcnlCQZJh1og,Glasswork Media\,Phoenix,AZ,33.476325,-112.029848,5,5,21172,Event Planning & Services
acuJP6nO2qzEC1V3j5Nr-Q,Sandra\,Scottsdale,AZ,33.5021248,-111.913156,5,11,22560,Event Planning & Services
bt0pnj0FesonTZC6Korhtw,Flickers Photography\,Tolleson,AZ,33.41581345,-112.2735596,1,4,24362,Event Planning & Services
LxW6VeH6QrLiF2_JL3zLYg,David Schacher Photography\,Phoenix,AZ,33.497075,-112.082323,5,3,22960,Event Planning & Services
hLFoytoIKbyzGsCBBwHM7w,Vantage Insurance Advisors\,Phoenix,AZ,33.583056,-112.007907,5,3,22965,Financial Services
602d4yqxXNWrLyRQ0yDxqQ,American Financial Lending\,Phoenix,AZ,33.6744529,-111.9782146,5,3,13314,Financial Services
6osIXsX0iwULltpeRHxbPQ,Vanguard Group\,Scottsdale,AZ,33.6148549,-111.8967365,4,4,19111,Financial Services
NM9ZflS7Aa6tZYun0ac9QQ,Sundin & Fish\,Chandler,AZ,33.2710108,-111.7916501,3.5,6,20477,Financial Services
HbTnm0pQ0MneRYMMfF_ZGw,Shayne R Neuwirth CPA\,Scottsdale,AZ,33.5555352,-111.8987208,5,22,20511,Financial Services
qrrh2Scl5BAXy1E_3cUHaw,Your Accountant's Office\,Mesa,AZ,33.3816695,-111.7282201,5,4,21623,Financial Services
beZVUfO1d2fS0wG8Alrvhg,Arcadia Farms\,Phoenix,AZ,33.4726589,-112.0734644,4,7,10189,Food
HIHOvslQA_m6S86H5QO2nw,AndyFood\,Scottsdale,AZ,33.5825532,-111.9301931,4.5,13,13779,Food
GF-qC0wSbhtNzvUPMkroJw,Circle K Stores\,Scottsdale,AZ,33.57351768,-111.8637348,3.5,3,15192,Food
NStn1REeJHaVdFfSJ4017g,Mix n Lix Yogurt\,Scottsdale,AZ,33.581204,-111.880688,3.5,18,17221,Food
ouBlOm6OSfVKWatic4c2lg,Sandra Dee's Catering\,Phoenix,AZ,33.3604,-111.7497,4.5,8,21266,Food
3kn2ho1T0_6dYnn5RI156A,Punch Honeybee Company\,Phoenix,AZ,33.563442,-112.0893682,4.5,4,21740,Food
B0WC52tnLIBSW2s3Wl8HQQ,Tea\,Mesa,AZ,33.4133505,-111.8759922,4,58,22483,Food
3CBGpMwYii-zd2k9P7BEhw,Market on the Move\,Phoenix,AZ,33.6750685,-112.0976901,5,3,22567,Food
EIb8hWJa1BT49GmHDvjuJg,Kegs\,Surprise,AZ,33.6044652,-112.3601378,3.5,36,24379,Food
3vKhV2ELR2hmwlnoNqYWaA,Lox\,Scottsdale,AZ,33.54422935,-111.9054723,4,168,3499,Food
_AwvPzaNPGQ_QZSWgsfOiw,Coffee\,Peoria,AZ,33.5514914,-112.2701358,3.5,17,18705,Food
CxDF-UmfKGmWdrNHPi028A,Gerard W Schneider\,Phoenix,AZ,33.5128791,-112.0475013,5,3,519,Health & Medical
ZPkomfeRH2pflacWf7U3-A,Zeman David C\,Phoenix,AZ,33.5063676,-112.0335679,5,3,592,Health & Medical
_ofao_kfutdp71Bh9JiyOw,Scott A Simpson\,Phoenix,AZ,33.616012,-112.064644,5,4,962,Health & Medical
EmO9TrzP8wB1tB1E8WM-_Q,Deborah S Mendelson\,Phoenix,AZ,33.5711162,-112.0692765,5,3,977,Health & Medical
6r8KHqgmlM3PWVZ7suyQ6w,Adriana K Holy\,Phoenix,AZ,33.583079,-111.98336,2.5,8,1202,Health & Medical
NE5lF576XXlNBc0XlFMUgQ,John W Dovgan\,Phoenix,AZ,33.6119413,-111.9987462,4.5,3,1376,Health & Medical
WImuwx-hNX3_bbIAAFh7zQ,Goldenstein Marvin D\,Phoenix,AZ,33.63782,-111.996763,2.5,4,1443,Health & Medical
hfSPhGxCweEmdVwtYph94g,Howard S. Snider\,Phoenix,AZ,33.33477,-111.976236,4.5,4,1753,Health & Medical
LrZrjC97SmkHkRhVruzIYw,Ahwatukee Pediatrics\,Phoenix,AZ,33.3039383,-111.9842775,2,4,1824,Health & Medical
_3z8g6PzqOWV9ItvNAdiqg,Ellison Gregory L\,Tempe,AZ,33.377964,-111.895985,2.5,7,2088,Health & Medical
VSqVAtT331-PmW5DJvELaA,Tara R Hodges\,Chandler,AZ,33.3209019,-111.884246,4,7,2624,Health & Medical
rFxMUvxY7XoTRdyuxhcrEQ,Kerry L Taylor\,Chandler,AZ,33.334685,-111.826817,4.5,7,2636,Health & Medical
baD0UGq57MLZ-vLFzyHF_g,James D Loo\,Chandler,AZ,33.2965461,-111.8755538,4,5,2667,Health & Medical
fH6jUAAzLKwHIUOAQm_CYA,Kent Johansen\,Chandler,AZ,33.320666,-111.907283,4.5,8,2757,Health & Medical
6O5HgEDYEKWDgZwhM6Vv7Q,Michael Grabow\,Chandler,AZ,33.320666,-111.907283,5,4,2868,Health & Medical
CC-HRicTUMw2ddYIOrq-4w,Lines Ruskin III\,Gilbert,AZ,33.3609016,-111.7898283,4,4,2958,Health & Medical
9sVyWIR7rUowu1KJZj7Q1Q,Stephen Cohen\,Scottsdale,AZ,33.5865815,-111.9267036,4.5,21,3272,Health & Medical
R0GST2A7UI6FQFWltItdOw,Alan Philip Katz\,Scottsdale,AZ,33.624662,-111.943525,4.5,6,3385,Health & Medical
DUvTVeE7K1734-0dlh9wtw,Williams Magda\,Scottsdale,AZ,33.5739639,-111.882427,4.5,5,3417,Health & Medical
vfqseP0_tGJ0LhSvvJQMuQ,Moschonas G Constantine\,Scottsdale,AZ,33.574171,-111.885796,4,5,3463,Health & Medical
0VAYXzrEQExGm-Q8FpIvgQ,Lakin Douglas\,Scottsdale,AZ,33.5755638,-111.8853249,5,4,3469,Health & Medical
Mupt29-kwuU1TgeeDy3O5g,William J Longwill\,Scottsdale,AZ,33.5747183,-111.8608697,5,4,3494,Health & Medical
pY_Vgbrpiz1GXeCqKAH4Tw,Terry C. Ramsey\,Scottsdale,AZ,33.6195355,-111.8817305,5,3,3569,Health & Medical
-34jE_5dujSWMIOBudQsiQ,Dairiki Tami\,Scottsdale,AZ,33.637203,-111.882191,5,5,3607,Health & Medical
BLr4CCzeR02WzKFJmY0rHA,Grade Patricia\,Scottsdale,AZ,33.573793,-111.885072,3,4,3661,Health & Medical
PCGQnghGB0btxBaU6D70bA,George Carr\,Tempe,AZ,33.3933932,-111.8968708,4.5,42,3823,Health & Medical
92STSHdBHGBLadmdzK-ALw,David L Thomas\,Tempe,AZ,33.4000087,-111.9265994,4.5,7,3850,Health & Medical
5oQOTAWwXRbd5gf2cbX0ug,Ahn & Perez\,Tempe,AZ,33.406166,-111.939422,4.5,10,4004,Health & Medical
_pG99559q-F1b-kKN2Mb0g,Jeffrey Mathews\,Tempe,AZ,33.350828,-111.909626,5,3,4127,Health & Medical
XCijrfbRwQv_y45N0LbFwQ,Paul D Woodbury\,Phoenix,AZ,33.506477,-112.073779,5,13,5064,Health & Medical
1hgsmrezZ4IUMcdlYDEeOw,McRunels Steven B\,Phoenix,AZ,33.500246,-112.100144,5,4,5193,Health & Medical
thHh3zMwbtURvQyPAGo83w,West Valley Ear Nose & Throat\,Phoenix,AZ,33.581231,-112.128648,1.5,7,5526,Health & Medical
qHxliBf1aIZwpVwXKZKirA,Trichak James S\,Phoenix,AZ,33.638351,-112.124262,5,8,5836,Health & Medical
tIKg1gQR1M6NkHFxTVEY8A,Duane Wirth\,Mesa,AZ,33.4362759,-111.8403176,5,3,5979,Health & Medical
8-TbEcCkKAAstTgCSPUlGQ,Peterson Brian R\,Mesa,AZ,33.437336,-111.682989,5,3,6124,Health & Medical
Oa7eYy7PpQpgDRYI6c9yLg,Susan P Briones\,Chandler,AZ,33.33695255,-111.8417001,3.5,4,6331,Health & Medical
XFecRrqs1IPmNQTrvXwtVA,Tony Kaocharoen\,Paradise Valley,AZ,33.5807411,-111.92912,5,3,6771,Health & Medical
AYPtyftsmowM7JCQZiMmig,Richard J Croft\,Paradise Valley,AZ,33.5242866,-111.9271914,3.5,5,6788,Health & Medical
GQoGAP9ZrvE6raU0QfTntw,Pinnacle Peak Dentistry\,Scottsdale,AZ,33.6986912,-111.9162603,5,7,6874,Health & Medical
plUplIUImgNy9JfZPt2i-w,Hyrum G Hatch\,Tempe,AZ,33.352183,-111.911824,5,5,7445,Health & Medical
K0vwctUFYK2Q-QIJwy-BIQ,Homan Hajbandeh\,Chandler,AZ,33.2997441,-111.8758872,4,9,8115,Health & Medical
BYP7IivSbC6_RYJrDB55ew,Ann Sielicki\,Scottsdale,AZ,33.699665,-111.918266,3.5,3,8504,Health & Medical
pSbJ2BFkySdfyEXX2Uwh8g,Christakos George T\,Scottsdale,AZ,33.6452969,-111.8958889,4,5,8654,Health & Medical
a3hiM7RlfNWLLOZ7wZrldQ,Michael L Berger\,Glendale,AZ,33.6090639,-112.202108,4.5,3,9158,Health & Medical
kta8ESyvbM9VlBNWjKzy3g,Shawn Young\,Tempe,AZ,33.3788374,-111.9051769,5,4,9177,Health & Medical
cPbLtUEql9L1VUeQxGgWAg,Michael Kaye\,Mesa,AZ,33.377308,-111.878564,5,3,9815,Health & Medical
qza_qwST-IjBBGTr-U3utQ,Patrick Liu\,Scottsdale,AZ,33.486379,-111.917016,5,14,9918,Health & Medical
188X3XzrBuFA1aLKtH-hCg,Christopher W Fowler\,Scottsdale,AZ,33.5243332,-111.9190286,5,3,9980,Health & Medical
l8cYASHIwcWvUTYF_DkkTA,Rani C Chatterjee\,Scottsdale,AZ,33.5023881,-111.9172605,3.5,4,10237,Health & Medical
re3kFT95D946sPHbgotPHQ,Alan D Wamboldt\,Mesa,AZ,33.407371,-111.669315,4.5,3,10403,Health & Medical
xyTRgHL5grazGlerCPzasA,Pete Coury\,Mesa,AZ,33.3940867,-111.7135492,5,7,10521,Health & Medical
pAGBe5mVRS4dP76YQFn-_Q,Curtis P Page\,Tempe,AZ,33.379297,-111.940053,2,16,10601,Health & Medical
KtMmg6XjZRYPxJ-WTmikng,Bradley J Lagers\,Scottsdale,AZ,33.611063,-111.975617,5,3,10652,Health & Medical
Lz0-Ry24IY8g1khRcD6NpA,Chad M Cravatta\,Mesa,AZ,33.3933208,-111.8791203,3.5,3,10676,Health & Medical
46Pklsv4V2dku7yY5rvhIw,David T Madder\,Gilbert,AZ,33.377581,-111.794222,4.5,15,10736,Health & Medical
usloqnO8zBW8m1s9q9TT0Q,Paul English\,Phoenix,AZ,33.3087782,-111.9783976,2.5,23,10756,Health & Medical
wx6GMdSAcanQVNsbcigtbQ,Rajeev Agarwal\,Phoenix,AZ,33.651859,-111.9296962,3,4,10891,Health & Medical
gfUVQj2qDIFF0buaM5I0xw,Tri-City Cardiology Consultants\,Mesa,AZ,33.43065,-111.843711,2.5,9,12551,Health & Medical
831VoPOKcLIZr3kWTb1pPg,North Valley Eye Care\,Phoenix,AZ,33.7979,-112.114571,5,18,13182,Health & Medical
Q7wFLdnyNyYCNyTVIwfx3g,Peter Levins\,Scottsdale,AZ,33.4889329,-111.9258448,4.5,12,13237,Health & Medical
rz8Dxojp8uY3zZI34a2Www,Reem Kidess\,Paradise Valley,AZ,33.5448949,-111.925094,5,5,14276,Health & Medical
q0Hqow7jdaFjbr4zrBwANg,Bachenheimer Nanni\,Scottsdale,AZ,33.637203,-111.882191,2,4,14727,Health & Medical
fRhltUjb3kH0BXUi1CtWaQ,Johns Gregory\,Phoenix,AZ,33.508412,-112.0133325,3.5,3,15062,Health & Medical
2vdlbK0loYSYqJeqq_TZ9g,Heffelfinger Dawn\,Phoenix,AZ,33.50866683,-112.0857008,5,15,15104,Health & Medical
ROfZSPgkNPR0vNT7GP_kHw,Tim Anastassatos\,Phoenix,AZ,33.3209686,-111.9909114,5,3,15142,Health & Medical
usEcbJQvPyaa_DFYig_bxg,Andrew Shumway\,Chandler,AZ,33.260697,-111.791328,4,7,15417,Health & Medical
zKrAq66Pzf1EU375s8eYeg,Ryan B Tsujimura\,Phoenix,AZ,33.6762684,-111.9783599,5,4,15820,Health & Medical
I8JiDO2p_wmiYemsgE7pAA,John Harman\,Phoenix,AZ,33.4948197,-111.9798208,5,4,15916,Health & Medical
dXhBU-RIa4WvjWWOl0ap9w,Derrick J. Dickerson\,Mesa,AZ,33.383885,-111.686905,5,4,15971,Health & Medical
ZiGgLzKxAqVScUM3f-NSSQ,Evangelista T Gregory\,Scottsdale,AZ,33.490829,-111.924217,3,4,16012,Health & Medical
wwbZGpfTUqzWMqetnJEvjg,Gary  M Weiner\,Scottsdale,AZ,33.4910301,-111.924224,4.5,6,16015,Health & Medical
rjphpWi6miBIE1ozv_VkrA,Rehl Ryan\,Phoenix,AZ,33.464925,-112.061801,4.5,3,16024,Health & Medical
j7_qELpkD8_emS4yYIl1TA,Carolyn K Hogan\,Phoenix,AZ,33.498185,-112.012404,5,4,16031,Health & Medical
k4eZK8yTufMDJi83tx1Iaw,Stephen J Conrad\,Phoenix,AZ,33.497278,-112.013856,4,8,16424,Health & Medical
r1xJLeTKdkvi78gSEdL-1w,Brett Sperbeck\,Chandler,AZ,33.306493,-111.857468,5,3,16628,Health & Medical
sKo4MeyA_peFIgeF-hyZsA,Robert A Spence\,Scottsdale,AZ,33.4855385,-111.9177018,4,5,16980,Health & Medical
84c2it9SM3XajJHltybpgg,Healthy Habits Massage\,Surprise,AZ,33.6363628,-112.3582774,4,13,16989,Health & Medical
a8js-v36x-jXSCWOew-MRQ,BackPro Chiropractic & Nutrition\,Phoenix,AZ,33.6686078,-112.0138326,5,4,17064,Health & Medical
OiP9vGjY_HPM_D0lcPDRLg,Wendy Wells\,Scottsdale,AZ,33.6255011,-111.8874693,5,9,17123,Health & Medical
rzWSBntfsHM0IvmrAToPdw,Carlos Santo\,Scottsdale,AZ,33.614277,-111.909211,5,6,17484,Health & Medical
yo9M8A8-mdhRcqKM8Fmg7w,Mark J Fleming\,Scottsdale,AZ,33.619137,-111.898964,4.5,5,17722,Health & Medical
tA481LXWuT_rqS3X4dH_7Q,Matt Garrett\,Buckeye,AZ,33.43479,-112.523239,3.5,5,17786,Health & Medical
njuy902skPkPM78oAZsJSw,John G Wood\,Glendale,AZ,33.6672903,-112.1695859,5,9,17858,Health & Medical
JuHVTDIfhkGEKEokEMQ50w,Craig Weinstein\,Gilbert,AZ,33.2864819,-111.7494194,2,4,18372,Health & Medical
_AIZPf73pgybQEUOjWZBHg,Deborah Copus\,Tempe,AZ,33.392518,-111.897911,3,6,19381,Health & Medical
8bBAR2YOm8_e-xvYigsciA,Cynthia J Price\,Scottsdale,AZ,33.5021942,-111.9372381,4.5,7,19884,Health & Medical
fqaHRrYTSt-key7mpcDeLA,Kurt E  Heiland\,Scottsdale,AZ,33.551606,-111.892139,3.5,12,20241,Health & Medical
UWk8huU3ziycZZ1HBTBAZQ,Naturopathic Essentials\,Scottsdale,AZ,33.5711566,-111.8756995,5,8,20535,Health & Medical
XrvX9Stvl5Nbd0vXU_Vtcw,Rebecca Llaca\,Scottsdale,AZ,33.487325,-111.918199,5,9,20668,Health & Medical
4TaLv5edMhuET1LeljmjvQ,Donald J Johnson\,Phoenix,AZ,33.639081,-112.145796,4,4,20824,Health & Medical
MmK_9sInYq0BS2SYPbJmDQ,Urology Associates\,Phoenix,AZ,33.484256,-112.071135,3.5,4,21009,Health & Medical
MGxr9ExvbaEObzdCzYdafA,Arizona Massage & Healing\,Glendale,AZ,33.664516,-112.2026347,5,4,21264,Health & Medical
gyrHlxgsxo9PIpyXGQq8Cg,Christopher Huston\,Phoenix,AZ,33.5063676,-112.0335679,2.5,6,21390,Health & Medical
R2fEyU5AMeYdjHJBhsoNiw,Karen Gage\,Phoenix,AZ,33.322319,-111.988766,5,3,21932,Health & Medical
HcPHNMjlkbg-RlMMRRPDjA,Darwin N. Davis\,Phoenix,AZ,33.4845628,-112.0651986,5,4,22008,Health & Medical
DJBT2ekKUwIf-hs61ZMCmA,Clay Forsberg\,Scottsdale,AZ,33.61517715,-111.8923874,5,5,22544,Health & Medical
lbi0un7b4mbrabeqaSlptQ,Glenn H Brown\,Mesa,AZ,33.3882133,-111.8765393,1.5,7,22654,Health & Medical
jDtR17R4qnZJlllpMOcdhQ,Clean Slate Arizona\,Scottsdale,AZ,33.493736,-111.929579,5,5,22842,Health & Medical
t6losZoUpbEBd1Gd-K0D7g,Peak Performance Plus\,Scottsdale,AZ,33.6292579,-111.889506,5,3,22964,Health & Medical
sGYQQJqMz56WaRTM01LbLQ,Mindful Massage\,Phoenix,AZ,33.510738,-112.031769,5,3,24944,Health & Medical
OxShSMxvwBznO4FydlwMBw,Drew Richetto\,Phoenix,AZ,33.512185,-112.04817,5,5,25045,Health & Medical
Mbh2RH0MGCmDpp9ulvdxaw,Joseph H Davis\,Phoenix,AZ,33.4827409,-112.0736157,4,5,256,Health & Medical
2BcNZqbEY9x3F2hcs5GUhg,John M Bracken\,Phoenix,AZ,33.4852461,-112.070434,4,10,285,Health & Medical
mDaplgVVdXUNZ1cHD-NtYg,Michael J Radcliffe\,Phoenix,AZ,33.5123433,-112.0472951,5,4,510,Health & Medical
9zlpLPhXYwK_STi2u8DjxQ,Kramer E Lawrence\,Phoenix,AZ,33.5063676,-112.0335679,3,8,658,Health & Medical
oQpq9f0HkS-_8RXlcsMiUg,Reed H Day\,Phoenix,AZ,33.5063676,-112.0335679,3.5,11,680,Health & Medical
BZqn7i_Z-MJ1QrxCyjFZSw,William Riley\,Phoenix,AZ,33.5012953,-112.0133613,4.5,11,741,Health & Medical
SeSmcvfWQxj3PKiizxkdQg,Michael W Zacher\,Phoenix,AZ,33.502948,-112.003802,3.5,6,772,Health & Medical
7aGRXdKyjhAilq3XnzZkiw,Kevin Ortale\,Phoenix,AZ,33.6411053,-112.0643001,4,4,1022,Health & Medical
xj8DjQHs8E42wGMJ2CmXxA,Steven K. Ingersoll\,Phoenix,AZ,33.579585,-112.01248,5,4,1204,Health & Medical
Qm9wnfnsec1PYVqkUmbyNA,Fauer Robert\,Phoenix,AZ,33.639652,-111.994878,5,3,1404,Health & Medical
SC7y-w80q2-85iDDCFuQqA,Dameron Brett\,Phoenix,AZ,33.5988259,-112.0134733,4,9,1456,Health & Medical
BNhnxtafzFg5D3aVBxz7jA,Mark J Woodland\,Phoenix,AZ,33.3492121,-111.9755918,4.5,12,1774,Health & Medical
j4Sc2Fr5g6osJjazbK_ZZg,Robert D Griego\,Mesa,AZ,33.3931689,-111.8795912,4.5,9,2063,Health & Medical
CJhF1smSIwvUeKM1tUNXVw,Brad Justesen\,Mesa,AZ,33.364582,-111.87939,5,6,2075,Health & Medical
GpjUt2OPPJl4EauSYsPl9g,Donald N Clifford\,Mesa,AZ,33.3792626,-111.7664509,5,5,2182,Health & Medical
bMzNhr8ikzwNZdpvRsZ-GQ,Leslie R Fish\,Chandler,AZ,33.335791,-111.861773,4.5,13,2605,Health & Medical
E-6SY0VCtMHxnrmPS5Nn1A,Mark Arooni\,Chandler,AZ,33.303956,-111.86225,5,8,2677,Health & Medical
6EepFEl_Ehbo0PjfTFnsGQ,Troy Gombert\,Chandler,AZ,33.320999,-111.907715,5,5,2753,Health & Medical
NZ6_i3FmyUMp4hsSUrGXww,Ish Patel\,Chandler,AZ,33.301377,-111.946065,4.5,26,2806,Health & Medical
TrSg3MZ-BlhqoXdYYuDxYA,William Tikey\,Scottsdale,AZ,33.6224105,-111.9063826,5,4,3365,Health & Medical
Vn52vo9bq8-PphH7mMcLjg,Michael J Gibbons\,Scottsdale,AZ,33.5653536,-111.9200529,5,3,3422,Health & Medical
ZH__iz7p__dLKF4o_9-pEA,Dennis C Eckel\,Scottsdale,AZ,33.5706,-111.9021,4,3,3426,Health & Medical
OHFdbNVrnngg3u_Xn5nYfA,Julie Anne Castilla\,Scottsdale,AZ,33.5757693,-111.8760518,4,5,3449,Health & Medical
JvY9XcjSQCKgC7LnKNAv8w,Ingrid E Haas\,Scottsdale,AZ,33.58446,-111.906947,3.5,3,3587,Health & Medical
g2be7RLUWSbow_p5AUjBwA,Halmi Bill H\,Scottsdale,AZ,33.639448,-111.888899,5,3,3595,Health & Medical
P_Scz-0p3cCm-jN6W-eUXw,Jerold L Powers\,Scottsdale,AZ,33.584447,-111.888663,3,4,3643,Health & Medical
4GdYyHKukZiMiQu0KJ0Jnw,Deborah Wilson\,Scottsdale,AZ,33.5849875,-111.8868947,1.5,21,3666,Health & Medical
piSxpSS5AlUCDVYQFFzPww,Mark C Waring\,Tempe,AZ,33.39304492,-111.8971273,4,3,3900,Health & Medical
ON99aVrkN8B8JlaxoqNZOg,Trent W Smallwood\,Tempe,AZ,33.335031,-111.943592,2.5,4,4144,Health & Medical
lTo2vfavCUkhUaqy4vABcg,John Schrolucke\,Glendale,AZ,33.582992,-112.170783,5,4,4233,Health & Medical
sNjCyzLl9CiQSpmfnvIAAw,Darrel L Bischoff\,Peoria,AZ,33.6105007,-112.2302417,4.5,7,4239,Health & Medical
FtGYoGHcsYa_jzVAum-Yvg,Wyatt Brad\,Glendale,AZ,33.56780632,-112.1826625,5,5,4256,Health & Medical
NQRIEqfSHMwGSeA8QJKXjg,Sawyer Allan T\,Glendale,AZ,33.6084183,-112.2010946,5,8,4411,Health & Medical
b7p78G9wl-rdJMjYl32hDw,Darrin Saikley\,Goodyear,AZ,33.3602393,-112.4053046,3.5,3,4607,Health & Medical
OYFjAm_soUbVA2GzsHUXxA,Richard Parsanko\,Scottsdale,AZ,33.6193733,-111.8824104,5,3,4863,Health & Medical
al3KlCKbJ8mimbD4TNG2Ng,Terry Simpson\,Scottsdale,AZ,33.637203,-111.882191,4,5,5132,Health & Medical
